Date,Activity,Start Time,End Time,F-RPE,U-RPE,L-RPE,(Sets + Rest) x (Reps + Rest) w/ Load,Notes,Duration,Finger Load,Upper Load,Lower Load,Finger Recovery Days,Upper Recovery Days,Lower Recovery Days
3/17/24,Bouldering,7:00 PM,8:00 PM,6,6,3,,slab,1,6,6,3,1.92,1.92,0.71
3/17/24,Bouldering,8:00 PM,9:00 PM,8,9,2,,cave,1,8,9,2,3.18,4,0.43
3/20/24,Cardio,8:00 PM,8:30 PM,0,0,8,,Biking to Slaughter,0.5,0,0,4,0,0,3.18
3/20/24,Bouldering,8:30 PM,9:30 PM,6,6,2,,,1,6,6,2,1.92,1.92,0.43
3/20/24,Power/Strength Endurance,9:30 PM,10:00 PM,9,7,2,3x3updown+5min,3x3updown+5min; felt great on the wall!,0.5,4.5,3.5,1,4,2.5,0.43
3/22/24,Bouldering,6:00 PM,7:30 PM,7,8,2,,,1.5,10.5,12,3,2.5,3.18,0.43
3/23/24,Warm-Up,5:45 PM,6:15 PM,6,7,2,,,0.5,3,3.5,1,1.92,2.5,0.43
3/23/24,Bouldering,6:15 PM,7:35 PM,8,8,2,,"onsighting till 7, then projecting",1.33,10.67,10.67,2.67,3.18,3.18,0.43
3/23/24,Cross Training,7:35 PM,8:15 PM,5,8,3,3x6+15,"3x6+15; Upper body circuit: jump rope, pinch 10kg, toes to bar (10,6,2), frenchies, yoga mat rolls",0.67,3.33,5.33,2,1.45,3.18,0.71
3/25/24,Bouldering,7:00 PM,7:30 PM,5,6,2,,,0.5,2.5,3,1,1.45,1.92,0.43
3/25/24,Bouldering,7:30 PM,8:30 PM,7,7,2,,exhausting but felt pretty good!,1,7,7,2,2.5,2.5,0.43
3/25/24,Power/Strength Endurance,8:30 PM,9:00 PM,8,6,2,3x3updown+5min,"3x3updown+5min; felt like trash, got pumped very easily...",0.5,4,3,1,3.18,1.92,0.43
3/27/24,Cardio,6:45 PM,7:00 PM,0,0,6,,bike,0.25,0,0,1.5,0,0,1.92
3/27/24,Warm-Up,7:00 PM,7:15 PM,4,5,2,,"gentle no hangs, feet on movement, pull ups",0.25,1,1.25,0.5,1.04,1.45,0.43
3/27/24,Bouldering,7:15 PM,8:00 PM,6,6,2,,"moderate bouldering, repeats on hard things, tried to be strong with good footwork",0.75,4.5,4.5,1.5,1.92,1.92,0.43
3/27/24,Bouldering,8:00 PM,9:00 PM,8,8.5,2,,"did V7 red with dyno into very shouldery vertical edges, the best sequence was much easier than others, but still required high effort. tried limit moves with edward, very hard to generate like him. felt like I couldn't produce force the same ways",1,8,8.5,2,3.18,3.57,0.43
3/29/24,Bouldering,8:15 PM,9:00 PM,9,8,2,,"purple-red keeping hips in was hard; black-green shoulders sagging; green-green crunchy lock off was hard, drop knees felt great",0.75,6.75,6,1.5,4,3.18,0.43
3/29/24,Routes,9:20 PM,10:00 PM,7,7,2,,"flashed 5.10, 3 parts 5.11+, felt very strong on gastons. ",0.67,4.67,4.67,1.33,2.5,2.5,0.43
3/31/24,Warm-Up,12:15 PM,12:30 PM,5,3,3,,,0.25,1.25,0.75,0.75,1.45,0.71,0.71
3/31/24,Bouldering,12:30 PM,2:00 PM,6,7,2,,comp style problems at evo,1.5,9,10.5,3,1.92,2.5,0.43
3/31/24,Bouldering,2:00 PM,2:45 PM,4,5,3,,slab climbing at evo,0.75,3,3.75,2.25,1.04,1.45,0.71
3/31/24,Bouldering,2:45 PM,3:15 PM,8,8,2,,projecting V8+ at evo,0.5,4,4,1,3.18,3.18,0.43
3/31/24,Power/Strength Endurance,3:15 PM,3:45 PM,7,6,2,,"yellow tape v3-v5 boulders, felt aerobically intense but managed pretty well pump and power-wise",0.5,3.5,3,1,2.5,1.92,0.43
4/3/24,Warm-Up,6:15 PM,6:30 PM,4,4,3,,,0.25,1,1,0.75,1.04,1.04,0.71
4/3/24,Bouldering,6:30 PM,7:00 PM,5,5,3,"onsighting, comp style problems, foot position and generation problems on purple dyno","onsighting, comp style problems, foot position and generation problems on purple dyno; ",0.5,2.5,2.5,1.5,1.45,1.45,0.71
4/3/24,Bouldering,7:00 PM,8:30 PM,8,9,2,"Moonboard - angry at sagging shoulders, generating force was so hard, felt so uncoordinated","Moonboard - angry at sagging shoulders, generating force was so hard, felt so uncoordinated; ",1.5,12,13.5,3,3.18,4,0.43
4/3/24,Bouldering,8:30 PM,9:00 PM,7,8,2,"Pink V9, need core power for far Gaston, hips sagging out, shoulders falling out","Pink V9, need core power for far Gaston, hips sagging out, shoulders falling out; ",0.5,3.5,4,1,2.5,3.18,0.43
4/5/24,Warm-Up,3:40 PM,3:55 PM,4,4,3,,"stretch, shrugs, pull-ups, hangboard, wall walking",0.25,1,1,0.75,1.04,1.04,0.71
4/5/24,Bouldering,3:55 PM,4:15 PM,5,6,2,,Onsighting on ~15 degree wall,0.33,1.67,2,0.67,1.45,1.92,0.43
4/5/24,Bouldering,4:15 PM,5:00 PM,7,8.5,2,,"projecting on ~15 degree wall, crazy purple boulder with drop down toehook beta, white crimp V8 required using a bad pinch to suck into the wall, I couldn't hack it, couldn't get into shoulders for gaston",0.75,5.25,6.38,1.5,2.5,3.57,0.43
4/5/24,Bouldering,5:00 PM,5:30 PM,6,7,2,,"repeated V5s with more effort into core and shoulders, back pinchy on 40 degree felt so limit",0.5,3,3.5,1,1.92,2.5,0.43
4/6/24,Bouldering,2:30 PM,3:15 PM,6,7.5,2,,,0.75,4.5,5.62,1.5,1.92,2.82,0.43
4/10/24,Warm-Up,5:20 PM,5:40 PM,4,4,3,,"shrugs, pull-ups, hangboard, stretch, light pump on overhung jug haul",0.33,1.33,1.33,1,1.04,1.04,0.71
4/10/24,Board Climbing,5:40 PM,7:30 PM,7,7.5,3,,"moonboard 2024 set, felt so much better today, tried absolutely hard only 1 or 2 times, next time will truly give it my all",1.83,12.83,13.75,5.5,2.5,2.82,0.71
4/10/24,Bouldering,7:30 PM,8:00 PM,5.5,5.5,2,,"moderates, powered out for sure, out of breath",0.5,2.75,2.75,1,1.67,1.67,0.43
4/12/24,Warm-Up,3:30 PM,4:00 PM,4,4,2,,"hangboard, pull-ups, easy boulders",0.5,2,2,1,1.04,1.04,0.43
4/12/24,Bouldering,4:00 PM,5:30 PM,7,8.5,2,,black pinchy V5 and V7,1.5,10.5,12.75,3,2.5,3.57,0.43
4/12/24,Movement Practice,5:30 PM,6:20 PM,5,9,2,,"lock-offs, contralateral 2-point, using the trailing foot as a smear to push out and toward target is very helpful, lead with hips!",0.83,4.17,7.5,1.67,1.45,4,0.43
4/14/24,Warm-Up,7:30 PM,7:35 PM,0,2,3,,stretching,0.08,0,0.17,0.25,0,0.43,0.71
4/14/24,Movement Practice,7:35 PM,8:30 PM,5,5,3,,on V0-V2 hips to wall and straight gen to bent catch,0.92,4.58,4.58,2.75,1.45,1.45,0.71
4/15/24,Cardio,6:50 PM,7:00 PM,0,0,7,,bike with emphasis on explosive pedaling,0.17,0,0,1.17,0,0,2.5
4/15/24,Warm-Up,7:00 PM,7:30 PM,4,4,2,,easy boulders,0.5,2,2,1,1.04,1.04,0.43
4/15/24,Bouldering,7:30 PM,8:30 PM,8,8,2,,"white crimpy V8 in cave, make ups",1,8,8,2,3.18,3.18,0.43
4/15/24,Movement Practice,8:30 PM,9:00 PM,4,6,3,,"hips to wall 10 in 10, rest for 10, contralateral lock-offs\",0.5,2,3,1.5,1.04,1.92,0.71
4/16/24,Cardio,6:50 PM,7:00 PM,0,0,7,,bike with emphasis on explosive pedaling,0.17,0,0,1.17,0,0,2.5
4/16/24,Bouldering,8:15 PM,9:00 PM,5,5,2,,make-ups and limit moves with lots of rest,0.75,3.75,3.75,1.5,1.45,1.45,0.43
4/19/24,Warm-Up,4:00 PM,4:30 PM,4,4,2,,"hips to wall easy climbs, hangboard pull ups",0.5,2,2,1,1.04,1.04,0.43
4/19/24,Bouldering,4:30 PM,6:00 PM,8,7,3,,"onsighting/projecting, got fatigued very quickly",1.5,12,10.5,4.5,3.18,2.5,0.71
4/23/24,Warm-Up,7:00 PM,7:30 PM,4,4,4,,,0.5,2,2,2,1.04,1.04,1.04
4/23/24,Bouldering,7:30 PM,8:30 PM,7,7,2,,onsighting,1,7,7,2,2.5,2.5,0.43
4/23/24,Bouldering,8:30 PM,9:00 PM,8,8,2,,projecting,0.5,4,4,1,3.18,3.18,0.43
4/24/24,Mobility/Stability,8:20 PM,9:00 PM,0,4,5.5,,Yoga,0.67,0,2.67,3.67,0,1.04,1.67
4/26/24,Cardio,3:00 PM,3:15 PM,0,0,3,,hiked,0.25,0,0,0.75,0,0,0.71
4/26/24,Outdoor Routes,4:20 PM,4:30 PM,4,4,0,,5.6 to learn to lead,0.17,0.67,0.67,0,1.04,1.04,0
4/26/24,Outdoor Routes,5:20 PM,5:30 PM,5,5,2,,5.9 to learn to lead,0.17,0.83,0.83,0.33,1.45,1.45,0.43
4/26/24,Outdoor Routes,7:00 PM,7:30 PM,9,6,2,,"5.12a at Bubba Buttress, fell near top",0.5,4.5,3,1,4,1.92,0.43
4/26/24,Cardio,7:45 PM,8:00 PM,0,0,7,,hiked,0.25,0,0,1.75,0,0,2.5
4/27/24,Outdoor Routes,12:30 PM,12:45 PM,8,5,2,,5.10b at Gun wall,0.25,2,1.25,0.5,3.18,1.45,0.43
4/27/24,Outdoor Routes,1:30 PM,2:00 PM,9,7,2,,"Applo Reed 5.13a Colliseum, bolt to bolt, did shield crux!",0.5,4.5,3.5,1,4,2.5,0.43
4/27/24,Outdoor Routes,2:30 PM,2:45 PM,8,6,2,,"5.12b at Colliseum, so tired and hungry",0.25,2,1.5,0.5,3.18,1.92,0.43
4/27/24,Cardio,3:30 PM,4:00 PM,0,0,5,,hike,0.5,0,0,2.5,0,0,1.45
4/28/24,Cardio,9:15 AM,10:00 AM,0,0,3,,hiked,0.75,0,0,2.25,0,0,0.71
4/28/24,Cardio,11:00 AM,11:30 AM,0,0,4,,hiked,0.5,0,0,2,0,0,1.04
4/28/24,Outdoor Routes,11:30 AM,12:00 PM,9,6,2,,"amazing 11a at Snake Buttress, had to take from pump despite slab",0.5,4.5,3,1,4,1.92,0.43
4/28/24,Cardio,1:40 PM,1:50 PM,0,0,5.5,,hiked,0.17,0,0,0.92,0,0,1.67
4/28/24,Cardio,1:50 PM,2:00 PM,0,0,7,,ran,0.17,0,0,1.17,0,0,2.5
4/29/24,Warm-Up,7:00 PM,7:30 PM,4,6,2,,"at slaughter, onsighting some stuff",0.5,2,3,1,1.04,1.92,0.43
4/29/24,Movement Practice,7:30 PM,8:30 PM,5,7,3,,make ups on steep wall,1,5,7,3,1.45,2.5,0.71
4/29/24,Power,8:30 PM,9:00 PM,5,8,0,,Campusing,0.5,2.5,4,0,1.45,3.18,0
5/1/24,Warm-Up,6:10 PM,6:30 PM,3,3,3,,,0.33,1,1,1,0.71,0.71,0.71
5/1/24,Movement Practice,6:30 PM,7:30 PM,5.5,5.5,3,,,1,5.5,5.5,3,1.67,1.67,0.71
5/1/24,Bouldering,7:30 PM,9:00 PM,7,8,2,,,1.5,10.5,12,3,2.5,3.18,0.43
5/2/24,Bouldering,7:15 PM,8:15 PM,4,5,3,,,1,4,5,3,1.04,1.45,0.71
5/5/24,Warm-Up,10:00 AM,10:15 AM,3,3,3,,,0.25,0.75,0.75,0.75,0.71,0.71,0.71
5/5/24,Movement Practice,10:15 AM,11:30 AM,5,5,3,,,1.25,6.25,6.25,3.75,1.45,1.45,0.71
5/5/24,Bouldering,11:30 AM,12:30 PM,7,8,2,,projecting,1,7,8,2,2.5,3.18,0.43
5/6/24,Warm-Up,4:00 PM,4:30 PM,5,5,2,,,0.5,2.5,2.5,1,1.45,1.45,0.43
5/6/24,Movement Practice,4:30 PM,5:30 PM,4,7,3,,"stand up dyno, underup",1,4,7,3,1.04,2.5,0.71
5/6/24,Bouldering,5:30 PM,6:00 PM,8.5,8,3,,"3 attempts on white V8 crimpy 40 degree project. fingers giving out, failed tight deadpoint pulling over foot",0.5,4.25,4,1.5,3.57,3.18,0.71
5/8/24,Work Capacity,7:30 PM,8:30 PM,5,5,2,,onsighting V3/V4 with short rests,1,5,5,2,1.45,1.45,0.43
5/8/24,Bouldering,9:00 PM,10:00 PM,6,6,2,,onsighting V5/V6 with more rest,1,6,6,2,1.92,1.92,0.43
5/10/24,Warm-Up,2:00 PM,2:30 PM,3,3,3,,,0.5,1.5,1.5,1.5,0.71,0.71,0.71
5/10/24,Movement Practice,2:30 PM,3:00 PM,6,6,2,,,0.5,3,3,1,1.92,1.92,0.43
5/10/24,Strength,3:00 PM,3:30 PM,8,9,2,,crux holds,0.5,4,4.5,1,3.18,4,0.43
5/13/24,Warm-Up,4:50 PM,5:00 PM,5,5,4,,,0.17,0.83,0.83,0.67,1.45,1.45,1.04
